Keyword,Degree Centrality,Betweenness Centrality,Closeness Centrality,Growth(rate),Share(rate),Frequency
hotel software,0.01025641,0.01025641,0.1416122,72.92517007,7.85E-03,30
hotel supply,0.020512821,0.000118953,0.155626496,119.8363095,0.0133866,53
hotel system,0.097435897,0.057689616,0.200617284,49.31972789,8.54E-03,36
hotel technology,0.015384615,0.050224689,0.16897747,64.32776915,0.0565467,243
hotel transaction,0.015384615,0,0.166809239,25.71428571,8.54E-03,34
hotel website,0.071794872,0.269647393,0.25390625,324.8391361,0.0415445,179
hvs market,0.030769231,0.070770423,0.164695946,0,6.92E-04,2
incident response,0.112820513,0.16791168,0.237804878,14.28571429,2.77E-03,11
integration,0.066666667,0.011196392,0.192687747,106.7582866,0.012925,54
international arrival,0.041025641,0.165804078,0.207006369,41.9047619,4.15E-03,17
international experience,0.087179487,0.051310599,0.241038319,0,6.92E-04,2
international headquarters,0.056410256,0.008843871,0.179558011,0,4.62E-04,1
job creation,0.035897436,0.009993997,0.170902717,26.66666667,5.31E-03,21
job market,0.025641026,0.00407613,0.146837349,23.83597884,0.012925,54
job search,0.030769231,0.006162658,0.146948003,18.29861111,9.92E-03,41
job,0.046153846,0.022019726,0.171202809,13.05555556,0.017541,70
knowledge acquisition,0.035897436,0.081430082,0.164974619,19.04761905,3.46E-03,13
lead generation,0.015384615,0.01025641,0.155626496,5.714285714,8.54E-03,32
leisure demand,0.005128205,0,0.143171806,1.686507937,5.31E-03,16
machine learning,0.020512821,0,0.125563426,13.2014005,0.0450066,189
maestro,0.056410256,0.003547138,0.170157068,81.25,3.92E-03,16
market,0.005128205,0,0.181395349,52.55116959,0.0191566,81
market intelligence,0.066666667,0.018387134,0.230769231,48.41269841,0.0108477,46
top market occupancy,0.071794872,0.237001984,0.221339387,0,4.62E-04,1
market share,0.015384615,0.01025641,0.183615819,54.33079325,0.0498534,213
marketplace insight,0.051282051,0.008170024,0.178735105,52.77777778,2.08E-03,6
market,0.005128205,0,0.155254777,52.55116959,0.0191566,81
media acquisition,0.035897436,0.007441184,0.164003364,-50,6.92E-04,1
metaverse,0.01025641,0.01025641,0.140591204,15.20284692,0.0332356,138
mobile,0.015384615,0,0.145848915,15.6140508,0.033928,140
mobile app,0.005128205,0,0.146396396,30.84531297,0.060932,256
mobility,0.005128205,0,0.16263553,22.68604745,0.0973989,404
multiproperty,0.097435897,0.05535236,0.200617284,100,1.15E-03,4
networking,0.051282051,0.000244985,0.197368421,78.83116883,0.0106169,45
new york city,0.005128205,0,0.162364696,59.81791073,0.0325432,138
newsletter,0.035897436,0.022944753,0.167669819,0,4.62E-04,1
occupancy growth,0.035897436,0.020638226,0.168831169,48.33333333,4.85E-03,20
occupancy level,0.041025641,0.017230144,0.185714286,50,9.23E-04,3
onpremises,0.061538462,0.003616543,0.170305677,98.0952381,5.54E-03,23
onboarding,0.025641026,3.18E-05,0.167958656,28.26399791,0.0136174,55
online booking,0.01025641,0,0.166524338,38.62554113,0.0133866,56
online review,0.051282051,0.012835274,0.21012931,40.74829932,8.31E-03,33
openai,0.041025641,0.070076659,0.143171806,134.7619048,7.39E-03,31
ota,0.056410256,0.010856913,0.212418301,51.63014069,9.69E-03,39
ota insight,0.082051282,0.049663554,0.240740741,76.66666667,3.00E-03,12
otainsight,0.087179487,0.051310599,0.241038319,7.777777778,3.69E-03,13
otas,0.030769231,0.023054108,0.222857143,49.65277778,0.0110785,43
parity,0.087179487,0.051310599,0.241038319,0,6.92E-04,2
pipeline,0.015384615,0,0.132024374,47.61904762,5.31E-03,22
platform,0.030769231,0,0.169417897,98.97959184,5.31E-03,22
property management system,0.051282051,6.61E-05,0.170008718,130.7407407,8.31E-03,34
prepandemic level,0.01025641,0.01025641,0.171957672,29.87012987,0.0108477,44
pricing,0.041025641,0,0.196177062,76.01028601,0.0177718,76
project,0.020512821,0,0.132113821,31.25,8.31E-03,34
property management system,0.046153846,6.69E-05,0.169860627,130.7407407,8.31E-03,34
real estate information,0.056410256,0.008843871,0.179558011,55.55555556,1.62E-03,6
region,0.01025641,0,0.146837349,115.1704545,7.85E-03,33
renewable energy,0.015384615,0.01025641,0.128883014,21.8937261,0.0706257,293
reservation,0.015384615,0.052974953,0.20678685,209.9603175,0.0108477,44
revenue generation,0.020512821,0.29567697,0.251612903,-8.333333333,2.08E-03,7
revenue intelligence,0.087179487,0.051310599,0.241038319,16.66666667,1.15E-03,4
revenue management,0.005128205,0,0.191740413,20.94425719,0.0565467,236
revenue per available room,0.005128205,0,0.14455152,36.53200966,0.0346204,142
revpar,0.020512821,0.003306843,0.166098807,86.98055927,0.0124634,53
review,0.082051282,0.018332706,0.221088435,93.53741497,0.0115401,47
roi,0.005128205,0,0.141406817,57.55952381,8.77E-03,32
room,0.030769231,0.038142349,0.148063781,33.33333333,1.38E-03,5
san francisco,0.01025641,7.75E-05,0.158794788,15.05681818,0.0228495,92
search engine,0.020512821,0.001207956,0.219842165,33.96851712,0.0355437,148
search engine optimization,0.025641026,0.007957972,0.22260274,81.89102564,0.0147714,63
seasonality,0.030769231,0,0.195783133,36.72979798,0.0124634,52
self service,0.01025641,0.000516122,0.169270833,0,4.62E-04,1
service,0.025641026,0.0024848,0.167381974,5.69655398,0.0687793,285
singapore,0.005128205,0,0.143699337,2.015392015,0.0235419,96
software,0.005128205,0,0.124124761,106.1770542,0.0302352,129
storytelling,0.020512821,0,0.179723502,89.45767196,0.0156946,66
str,0.020512821,0,0.152701644,86.99872286,0.0306968,132
strategy,0.020512821,0,0.142648135,76.34500916,0.0198491,85
supply,0.046153846,0.117063821,0.197768763,28.31529582,0.0170794,69
support,0.041025641,0.000196934,0.196177062,49.01049973,0.0244651,100
survey,0.01025641,0,0.192687747,44.51388889,0.0115401,49
sustainable tourism,0.020512821,0.030452022,0.147503782,39.19101732,0.0244651,101
talent,0.01025641,0,0.128289474,9.880952381,0.0154638,61
top market,0.030769231,0.021815699,0.193069307,79.19871795,0.0124634,52
training,0.005128205,0,0.16062603,8.966759635,0.0616244,247
transformation,0.020512821,0,0.179723502,70.32467532,0.018695,80
transportation,0.020512821,0,0.146726862,8.755529148,0.0221571,90
travel and tourism,0.051282051,0.049708509,0.171806167,67.5,6.23E-03,26
travel data,0.061538462,0.002333204,0.201446281,122.5,3.92E-03,16
travel technology,0.046153846,0.129375378,0.191929134,52.43197279,9.92E-03,39
travelboom,0.046153846,0.0149409,0.222348917,19.44444444,2.77E-03,10
traveler,0.020512821,0.096062985,0.209903122,18.7797619,9.46E-03,38
travelers,0.015384615,0,0.192878338,0,4.62E-04,1
trustyou,0.076923077,0.004469821,0.203125,68.51851852,5.08E-03,20
us hotel performance,0.056410256,0.035625153,0.186781609,128.4285714,6.00E-03,25
user experience,0.01025641,0.050963907,0.227803738,80.98687771,0.017541,75
valuation,0.020512821,0,0.144124169,6.485489819,0.0253883,105
valuation service,0.030769231,0.002581725,0.167525773,85.11111111,6.46E-03,27
virtual reality,0.005128205,0,0.123339658,14.40205845,0.1126318,470
weekday occupancy,0.051282051,0.04117216,0.193260654,18.75,5.08E-03,19
weekend occupancy,0.061538462,0.061632112,0.193644489,26.66666667,4.62E-03,17
wttc,0.046153846,0.039452099,0.17165493,206.4285714,7.85E-03,33
yoy,0.020512821,0.046308994,0.167958656,70.83333333,2.31E-03,9
