Keyword,Degree Centrality,Betweenness Centrality,Closeness Centrality,Growth(rate),Share(rate),Frequency,Degree (Median),Degree (Mean),Betweenness (Median),Betweenness (Mean),Share (Median),Share (Mean),,,Median,,,Mean,,
consulting,0.015384615,0,0.154761905,-15.31746032,0.0113093,35,Niche,Niche,Niche,Niche,Niche,Niche,,,,,,,,
convention center,0.020512821,0.013326217,0.15625,93.80952381,4.85E-03,20,Emerging,Emerging,Hot,Emerging,Emerging,Emerging,,,,,,,,
csgp,0.056410256,0.008843871,0.179558011,88.66883117,0.0113093,48,Hot,Hot,Hot,Emerging,Emerging,Emerging,,,,,,,,
customer engagement,0.046153846,0.06934553,0.182926829,40.37037037,0.0193874,83,Hot,Mature,Hot,Mature,Hot,Niche,,,,,,,,
customer experience,0.035897436,0,0.193644489,194.0394839,0.1336349,578,Hot,Hot,Emerging,Emerging,Hot,Hot,,,,,,,,
customer feedback,0.087179487,0.009753265,0.202702703,17.85714286,5.08E-03,21,Mature,Mature,Mature,Niche,Niche,Niche,,,,,,,,
customer relationship management,0.015384615,0,0.127284595,63.57804233,0.0311584,134,Emerging,Emerging,Emerging,Emerging,Hot,Hot,,,,,,,,
customer satisfaction,0.041025641,0,0.194029851,34.41626657,0.0426985,180,Mature,Mature,Niche,Niche,Mature,Mature,,,,,,,,
customer success,0.061538462,0.003859209,0.197768763,43.33333333,3.46E-03,14,Hot,Mature,Hot,Niche,Emerging,Niche,,,,,,,,
data,0.005128205,0,0.192307692,6.832336337,0.0341588,141,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
data analytics,0.030769231,3.99E-05,0.158536585,32.28892544,0.0260807,109,Mature,Niche,Niche,Niche,Mature,Mature,,,,,,,,
data benchmarking,0.066666667,0.080554974,0.202702703,309.0780874,0.0145406,62,Hot,Hot,Hot,Hot,Hot,Emerging,,,,,,,,
data integration,0.020512821,1.76E-05,0.127367734,53.25892857,0.0113093,47,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,,,,,,,,
data science,0.030769231,3.52E-05,0.183788878,27.32638889,8.77E-03,37,Mature,Niche,Niche,Niche,Niche,Niche,,,,,,,,
data driven marketing,0.035897436,0.002479551,0.197368421,-4.166666667,1.85E-03,5,Mature,Mature,Niche,Niche,Niche,Niche,,,,,,,,
demand,0.005128205,0,0.165254237,125.25649,0.0547003,236,Emerging,Emerging,Emerging,Emerging,Hot,Hot,,,,,,,,
destination,0.005128205,0,0.146837349,24.20048701,0.0150022,63,Niche,Niche,Niche,Niche,Mature,Niche,,,,,,,,
digital marketing,0.030769231,0.005329877,0.205047319,39.51319369,0.0660096,279,Hot,Niche,Hot,Niche,Hot,Mature,,,,,,,,
digital transformation,0.015384615,0,0.127284595,-3.14454248,0.1190943,484,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
direct booking,0.020512821,0.002054203,0.195783133,16.75234488,0.0196183,79,Niche,Niche,Niche,Niche,Mature,Niche,,,,,,,,
direct booking,0.051282051,0.012486376,0.19918284,16.75234488,0.0196183,79,Mature,Mature,Mature,Niche,Mature,Niche,,,,,,,,
distribution,0.035897436,0,0.195979899,41.66035354,0.016387,69,Hot,Mature,Emerging,Niche,Hot,Niche,,,,,,,,
economic growth,0.005128205,0,0.146726862,24.86540148,0.0362361,145,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
economic impact,0.030769231,0.064191369,0.164695946,19.01425926,0.0203107,79,Mature,Niche,Mature,Mature,Mature,Niche,,,,,,,,
email,0.005128205,0,0.134761576,105.0595238,6.92E-03,29,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,,,,,,,,
emea,0.046153846,0,0.194223108,131.5972222,9.69E-03,40,Hot,Hot,Emerging,Emerging,Emerging,Emerging,,,,,,,,
employment,0.046153846,0.022019726,0.171202809,63.54166667,5.54E-03,22,Hot,Hot,Hot,Emerging,Emerging,Emerging,,,,,,,,
energy efficiency,0.005128205,0,0.114235501,13.22389052,0.2848109,1192,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
environmental impact,0.01025641,0,0.128797886,22.49477861,0.0205415,83,Niche,Niche,Niche,Niche,Mature,Niche,,,,,,,,
europe,0.005128205,0,0.17165493,25.02442002,0.016387,67,Niche,Niche,Niche,Niche,Mature,Niche,,,,,,,,
expertise,0.030769231,0.002581725,0.167525773,-41.66666667,1.38E-03,3,Mature,Niche,Niche,Niche,Niche,Niche,,,,,,,,
feasibility study,0.025641026,0.074453251,0.174887892,54.16666667,2.54E-03,10,Emerging,Emerging,Hot,Hot,Emerging,Emerging,,,,,,,,
feedback,0.056410256,4.34E-05,0.19558676,29.24512987,0.0180026,74,Mature,Mature,Niche,Niche,Mature,Niche,,,,,,,,
fitness centre,0.005128205,0,0.143699337,36.11111111,2.54E-03,10,Niche,Niche,Niche,Niche,Niche,Niche,,,,,,,,
future,0.01025641,0.020407084,0.163179916,0.861742424,0.0156946,59,Niche,Niche,Mature,Niche,Mature,Niche,,,,,,,,
generative ai,0.020512821,0,0.125563426,73.85785893,0.0413137,175,Emerging,Emerging,Emerging,Emerging,Hot,Hot,,,,,,,,
global economics,0.005128205,0,0.128289474,13.42615718,0.0309276,127,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
global economy,0.015384615,0.01025641,0.147058824,31.71768707,9.23E-03,38,Niche,Niche,Mature,Niche,Niche,Niche,,,,,,,,
global hospitality,0.025641026,0,0.158794788,156.813246,0.0348512,148,Emerging,Emerging,Emerging,Emerging,Hot,Hot,,,,,,,,
global network,0.066666667,0.07916116,0.199386503,94.09722222,9.46E-03,40,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
global operation,0.020512821,1.76E-05,0.127367734,12.14285714,4.85E-03,17,Niche,Niche,Niche,Niche,Niche,Niche,,,,,,,,
global tourism,0.030769231,0.134275956,0.185361217,81.92830979,0.014079,60,Hot,Emerging,Hot,Hot,Hot,Emerging,,,,,,,,
google,0.030769231,0.001504894,0.218365062,23.49206349,0.0147714,60,Mature,Niche,Niche,Niche,Mature,Niche,,,,,,,,
group demand,0.025641026,0.01025641,0.166952055,21.875,0.0113093,47,Niche,Niche,Mature,Niche,Niche,Niche,,,,,,,,
group travel,0.005128205,0,0.14455152,10.95024767,0.0180026,74,Niche,Niche,Niche,Niche,Mature,Niche,,,,,,,,
guest experience,0.01025641,0,0.18696069,29.17430824,0.045699,193,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
guest feedback,0.082051282,0.006504655,0.203336809,55.55555556,3.69E-03,14,Hot,Hot,Hot,Emerging,Emerging,Emerging,,,,,,,,
guest review,0.076923077,0.007664048,0.202282158,50,3.46E-03,13,Hot,Mature,Hot,Niche,Emerging,Niche,,,,,,,,
guest satisfaction,0.051282051,0,0.19441675,55.43269231,0.0108477,45,Hot,Hot,Emerging,Emerging,Emerging,Emerging,,,,,,,,
guest service,0.035897436,0.04084739,0.191176471,7.291666667,3.69E-03,12,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
gx platform,0.102564103,0.083019462,0.229411765,91.66666667,2.54E-03,10,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
holiday,0.005128205,0,0.162364696,72.52645503,0.0166178,69,Emerging,Emerging,Emerging,Emerging,Hot,Emerging,,,,,,,,
cloudbased hospitality business intelligence,0.092307692,0.059362726,0.241635688,-50,6.92E-04,1,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
hospitality technology,0.061538462,0.009839736,0.197969543,83.41841492,0.0297736,128,Hot,Hot,Hot,Emerging,Hot,Hot,,,,,,,,
hotel booking,0.015384615,0.003670436,0.208779443,16.03747801,0.0461606,180,Niche,Niche,Mature,Niche,Mature,Mature,,,,,,,,
hotel management system,0.082051282,0.028942089,0.200205339,179.2413381,0.0166178,71,Hot,Hot,Hot,Hot,Hot,Emerging,,,,,,,,
hotel market,0.005128205,0,0.141509434,41.58702044,0.0246959,105,Emerging,Niche,Emerging,Niche,Hot,Mature,,,,,,,,
hotel marketing,0.030769231,3.52E-05,0.183788878,8.779761905,0.0251575,94,Mature,Niche,Niche,Niche,Mature,Mature,,,,,,,,
hotel marketing podcast,0.046153846,0.0149409,0.222348917,0,4.62E-04,1,Mature,Mature,Mature,Niche,Niche,Niche,,,,,,,,
hotel opening,0.025641026,3.52E-05,0.13220339,51.61564626,7.39E-03,31,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,,,,,,,,
hotel performance,0.005128205,0,0.157512116,50.57052486,0.0189258,80,Emerging,Niche,Emerging,Niche,Hot,Niche,,,,,,,,
hotel pms,0.066666667,0.013446445,0.171353251,102.7777778,5.54E-03,23,Hot,Hot,Hot,Emerging,Emerging,Emerging,,,,,,,,
hotel project,0.030769231,0.009142771,0.137034434,42.63888889,4.85E-03,20,Hot,Niche,Hot,Niche,Emerging,Niche,,,,,,,,
hotel property management,0.087179487,0.051310599,0.241038319,45,2.08E-03,8,Hot,Mature,Hot,Mature,Emerging,Niche,,,,,,,,
hotel reservation,0.005128205,0,0.146726862,37.25044563,0.032774,140,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
hotel reservation,0.01025641,0.01025641,0.171806167,37.25044563,0.032774,140,Niche,Niche,Mature,Niche,Mature,Mature,,,,,,,,
hotel revenue management,0.051282051,0.219322901,0.236938032,101.8596681,0.0143098,61,Hot,Hot,Hot,Hot,Hot,Emerging,,,,,,,,
hotel review,0.082051282,0.013411708,0.221088435,30,3.92E-03,16,Mature,Mature,Mature,Niche,Niche,Niche,,,,,,,,
hotel sale,0.005128205,0,0.16062603,63.82440476,0.017541,73,Emerging,Emerging,Emerging,Emerging,Hot,Emerging,,,,,,,,
hotel search,0.092307692,0.16365976,0.241935484,34.16666667,2.77E-03,10,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
hotel software,0.01025641,0.01025641,0.1416122,72.92517007,7.85E-03,30,Emerging,Emerging,Hot,Emerging,Emerging,Emerging,,,,,,,,
hotel supply,0.020512821,0.000118953,0.155626496,119.8363095,0.0133866,53,Emerging,Emerging,Emerging,Emerging,Hot,Emerging,,,,,,,,
hotel system,0.097435897,0.057689616,0.200617284,49.31972789,8.54E-03,36,Hot,Mature,Hot,Mature,Emerging,Niche,,,,,,,,
hotel technology,0.015384615,0.050224689,0.16897747,64.32776915,0.0565467,243,Emerging,Emerging,Hot,Hot,Hot,Hot,,,,,,,,
hotel transaction,0.015384615,0,0.166809239,25.71428571,8.54E-03,34,Niche,Niche,Niche,Niche,Niche,Niche,,,,,,,,
hotel website,0.071794872,0.269647393,0.25390625,324.8391361,0.0415445,179,Hot,Hot,Hot,Hot,Hot,Hot,,,,,,,,
hvs market,0.030769231,0.070770423,0.164695946,0,6.92E-04,2,Mature,Niche,Mature,Mature,Niche,Niche,,,,,,,,
incident response,0.112820513,0.16791168,0.237804878,14.28571429,2.77E-03,11,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
integration,0.066666667,0.011196392,0.192687747,106.7582866,0.012925,54,Hot,Hot,Hot,Emerging,Hot,Emerging,,,,,,,,
international arrival,0.041025641,0.165804078,0.207006369,41.9047619,4.15E-03,17,Hot,Mature,Hot,Mature,Emerging,Niche,,,,,,,,
international experience,0.087179487,0.051310599,0.241038319,0,6.92E-04,2,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
international headquarters,0.056410256,0.008843871,0.179558011,0,4.62E-04,1,Mature,Mature,Mature,Niche,Niche,Niche,,,,,,,,
job creation,0.035897436,0.009993997,0.170902717,26.66666667,5.31E-03,21,Mature,Mature,Mature,Niche,Niche,Niche,,,,,,,,
job market,0.025641026,0.00407613,0.146837349,23.83597884,0.012925,54,Niche,Niche,Mature,Niche,Mature,Niche,,,,,,,,
job search,0.030769231,0.006162658,0.146948003,18.29861111,9.92E-03,41,Mature,Niche,Mature,Niche,Niche,Niche,,,,,,,,
job,0.046153846,0.022019726,0.171202809,13.05555556,0.017541,70,Mature,Mature,Mature,Niche,Mature,Niche,,,,,,,,
knowledge acquisition,0.035897436,0.081430082,0.164974619,19.04761905,3.46E-03,13,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
lead generation,0.015384615,0.01025641,0.155626496,5.714285714,8.54E-03,32,Niche,Niche,Mature,Niche,Niche,Niche,,,,,,,,
leisure demand,0.005128205,0,0.143171806,1.686507937,5.31E-03,16,Niche,Niche,Niche,Niche,Niche,Niche,,,,,,,,
machine learning,0.020512821,0,0.125563426,13.2014005,0.0450066,189,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
maestro,0.056410256,0.003547138,0.170157068,81.25,3.92E-03,16,Hot,Hot,Hot,Emerging,Emerging,Emerging,,,,,,,,
market,0.005128205,0,0.181395349,52.55116959,0.0191566,81,Emerging,Emerging,Emerging,Emerging,Hot,Emerging,,,,,,,,
market intelligence,0.066666667,0.018387134,0.230769231,48.41269841,0.0108477,46,Hot,Mature,Hot,Niche,Emerging,Niche,,,,,,,,
top market occupancy,0.071794872,0.237001984,0.221339387,0,4.62E-04,1,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
market share,0.015384615,0.01025641,0.183615819,54.33079325,0.0498534,213,Emerging,Emerging,Hot,Emerging,Hot,Hot,,,,,,,,
marketplace insight,0.051282051,0.008170024,0.178735105,52.77777778,2.08E-03,6,Hot,Hot,Hot,Emerging,Emerging,Emerging,,,,,,,,
market,0.005128205,0,0.155254777,52.55116959,0.0191566,81,Emerging,Emerging,Emerging,Emerging,Hot,Emerging,,,,,,,,
media acquisition,0.035897436,0.007441184,0.164003364,-50,6.92E-04,1,Mature,Mature,Mature,Niche,Niche,Niche,,,,,,,,
metaverse,0.01025641,0.01025641,0.140591204,15.20284692,0.0332356,138,Niche,Niche,Mature,Niche,Mature,Mature,,,,,,,,
mobile,0.015384615,0,0.145848915,15.6140508,0.033928,140,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
mobile app,0.005128205,0,0.146396396,30.84531297,0.060932,256,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
mobility,0.005128205,0,0.16263553,22.68604745,0.0973989,404,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
multiproperty,0.097435897,0.05535236,0.200617284,100,1.15E-03,4,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
networking,0.051282051,0.000244985,0.197368421,78.83116883,0.0106169,45,Hot,Hot,Emerging,Emerging,Emerging,Emerging,,,,,,,,
new york city,0.005128205,0,0.162364696,59.81791073,0.0325432,138,Emerging,Emerging,Emerging,Emerging,Hot,Hot,,,,,,,,
newsletter,0.035897436,0.022944753,0.167669819,0,4.62E-04,1,Mature,Mature,Mature,Niche,Niche,Niche,,,,,,,,
occupancy growth,0.035897436,0.020638226,0.168831169,48.33333333,4.85E-03,20,Hot,Mature,Hot,Niche,Emerging,Niche,,,,,,,,
occupancy level,0.041025641,0.017230144,0.185714286,50,9.23E-04,3,Hot,Mature,Hot,Niche,Emerging,Niche,,,,,,,,
onpremises,0.061538462,0.003616543,0.170305677,98.0952381,5.54E-03,23,Hot,Hot,Hot,Emerging,Emerging,Emerging,,,,,,,,
onboarding,0.025641026,3.18E-05,0.167958656,28.26399791,0.0136174,55,Niche,Niche,Niche,Niche,Mature,Niche,,,,,,,,
online booking,0.01025641,0,0.166524338,38.62554113,0.0133866,56,Niche,Niche,Niche,Niche,Mature,Niche,,,,,,,,
online review,0.051282051,0.012835274,0.21012931,40.74829932,8.31E-03,33,Hot,Mature,Hot,Niche,Emerging,Niche,,,,,,,,
openai,0.041025641,0.070076659,0.143171806,134.7619048,7.39E-03,31,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
ota,0.056410256,0.010856913,0.212418301,51.63014069,9.69E-03,39,Hot,Hot,Hot,Emerging,Emerging,Emerging,,,,,,,,
ota insight,0.082051282,0.049663554,0.240740741,76.66666667,3.00E-03,12,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
otainsight,0.087179487,0.051310599,0.241038319,7.777777778,3.69E-03,13,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
otas,0.030769231,0.023054108,0.222857143,49.65277778,0.0110785,43,Hot,Niche,Hot,Niche,Emerging,Niche,,,,,,,,
parity,0.087179487,0.051310599,0.241038319,0,6.92E-04,2,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
pipeline,0.015384615,0,0.132024374,47.61904762,5.31E-03,22,Emerging,Niche,Emerging,Niche,Emerging,Niche,,,,,,,,
platform,0.030769231,0,0.169417897,98.97959184,5.31E-03,22,Hot,Emerging,Emerging,Emerging,Emerging,Emerging,,,,,,,,
property management system,0.051282051,6.61E-05,0.170008718,130.7407407,8.31E-03,34,Hot,Hot,Emerging,Emerging,Emerging,Emerging,,,,,,,,
prepandemic level,0.01025641,0.01025641,0.171957672,29.87012987,0.0108477,44,Niche,Niche,Mature,Niche,Niche,Niche,,,,,,,,
pricing,0.041025641,0,0.196177062,76.01028601,0.0177718,76,Hot,Hot,Emerging,Emerging,Hot,Emerging,,,,,,,,
project,0.020512821,0,0.132113821,31.25,8.31E-03,34,Niche,Niche,Niche,Niche,Niche,Niche,,,,,,,,
property management system,0.046153846,6.69E-05,0.169860627,130.7407407,8.31E-03,34,Hot,Hot,Emerging,Emerging,Emerging,Emerging,,,,,,,,
real estate information,0.056410256,0.008843871,0.179558011,55.55555556,1.62E-03,6,Hot,Hot,Hot,Emerging,Emerging,Emerging,,,,,,,,
region,0.01025641,0,0.146837349,115.1704545,7.85E-03,33,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,,,,,,,,
renewable energy,0.015384615,0.01025641,0.128883014,21.8937261,0.0706257,293,Niche,Niche,Mature,Niche,Mature,Mature,,,,,,,,
reservation,0.015384615,0.052974953,0.20678685,209.9603175,0.0108477,44,Emerging,Emerging,Hot,Hot,Emerging,Emerging,,,,,,,,
revenue generation,0.020512821,0.29567697,0.251612903,-8.333333333,2.08E-03,7,Niche,Niche,Mature,Mature,Niche,Niche,,,,,,,,
revenue intelligence,0.087179487,0.051310599,0.241038319,16.66666667,1.15E-03,4,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
revenue management,0.005128205,0,0.191740413,20.94425719,0.0565467,236,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
revenue per available room,0.005128205,0,0.14455152,36.53200966,0.0346204,142,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
revpar,0.020512821,0.003306843,0.166098807,86.98055927,0.0124634,53,Emerging,Emerging,Hot,Emerging,Hot,Emerging,,,,,,,,
review,0.082051282,0.018332706,0.221088435,93.53741497,0.0115401,47,Hot,Hot,Hot,Emerging,Emerging,Emerging,,,,,,,,
roi,0.005128205,0,0.141406817,57.55952381,8.77E-03,32,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,,,,,,,,
room,0.030769231,0.038142349,0.148063781,33.33333333,1.38E-03,5,Mature,Niche,Mature,Mature,Niche,Niche,,,,,,,,
san francisco,0.01025641,7.75E-05,0.158794788,15.05681818,0.0228495,92,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
search engine,0.020512821,0.001207956,0.219842165,33.96851712,0.0355437,148,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
search engine optimization,0.025641026,0.007957972,0.22260274,81.89102564,0.0147714,63,Emerging,Emerging,Hot,Emerging,Hot,Emerging,,,,,,,,
seasonality,0.030769231,0,0.195783133,36.72979798,0.0124634,52,Mature,Niche,Niche,Niche,Mature,Niche,,,,,,,,
self service,0.01025641,0.000516122,0.169270833,0,4.62E-04,1,Niche,Niche,Niche,Niche,Niche,Niche,,,,,,,,
service,0.025641026,0.0024848,0.167381974,5.69655398,0.0687793,285,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
singapore,0.005128205,0,0.143699337,2.015392015,0.0235419,96,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
software,0.005128205,0,0.124124761,106.1770542,0.0302352,129,Emerging,Emerging,Emerging,Emerging,Hot,Hot,,,,,,,,
storytelling,0.020512821,0,0.179723502,89.45767196,0.0156946,66,Emerging,Emerging,Emerging,Emerging,Hot,Emerging,,,,,,,,
str,0.020512821,0,0.152701644,86.99872286,0.0306968,132,Emerging,Emerging,Emerging,Emerging,Hot,Hot,,,,,,,,
strategy,0.020512821,0,0.142648135,76.34500916,0.0198491,85,Emerging,Emerging,Emerging,Emerging,Hot,Emerging,,,,,,,,
supply,0.046153846,0.117063821,0.197768763,28.31529582,0.0170794,69,Mature,Mature,Mature,Mature,Mature,Niche,,,,,,,,
support,0.041025641,0.000196934,0.196177062,49.01049973,0.0244651,100,Hot,Mature,Emerging,Niche,Hot,Mature,,,,,,,,
survey,0.01025641,0,0.192687747,44.51388889,0.0115401,49,Emerging,Niche,Emerging,Niche,Emerging,Niche,,,,,,,,
sustainable tourism,0.020512821,0.030452022,0.147503782,39.19101732,0.0244651,101,Niche,Niche,Mature,Mature,Mature,Mature,,,,,,,,
talent,0.01025641,0,0.128289474,9.880952381,0.0154638,61,Niche,Niche,Niche,Niche,Mature,Niche,,,,,,,,
top market,0.030769231,0.021815699,0.193069307,79.19871795,0.0124634,52,Hot,Emerging,Hot,Emerging,Hot,Emerging,,,,,,,,
training,0.005128205,0,0.16062603,8.966759635,0.0616244,247,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
transformation,0.020512821,0,0.179723502,70.32467532,0.018695,80,Emerging,Emerging,Emerging,Emerging,Hot,Emerging,,,,,,,,
transportation,0.020512821,0,0.146726862,8.755529148,0.0221571,90,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
travel and tourism,0.051282051,0.049708509,0.171806167,67.5,6.23E-03,26,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
travel data,0.061538462,0.002333204,0.201446281,122.5,3.92E-03,16,Hot,Hot,Emerging,Emerging,Emerging,Emerging,,,,,,,,
travel technology,0.046153846,0.129375378,0.191929134,52.43197279,9.92E-03,39,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
travelboom,0.046153846,0.0149409,0.222348917,19.44444444,2.77E-03,10,Mature,Mature,Mature,Niche,Niche,Niche,,,,,,,,
traveler,0.020512821,0.096062985,0.209903122,18.7797619,9.46E-03,38,Niche,Niche,Mature,Mature,Niche,Niche,,,,,,,,
travelers,0.015384615,0,0.192878338,0,4.62E-04,1,Niche,Niche,Niche,Niche,Niche,Niche,,,,,,,,
trustyou,0.076923077,0.004469821,0.203125,68.51851852,5.08E-03,20,Hot,Hot,Hot,Emerging,Emerging,Emerging,,,,,,,,
us hotel performance,0.056410256,0.035625153,0.186781609,128.4285714,6.00E-03,25,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
user experience,0.01025641,0.050963907,0.227803738,80.98687771,0.017541,75,Emerging,Emerging,Hot,Hot,Hot,Emerging,,,,,,,,
valuation,0.020512821,0,0.144124169,6.485489819,0.0253883,105,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
valuation service,0.030769231,0.002581725,0.167525773,85.11111111,6.46E-03,27,Hot,Emerging,Emerging,Emerging,Emerging,Emerging,,,,,,,,
virtual reality,0.005128205,0,0.123339658,14.40205845,0.1126318,470,Niche,Niche,Niche,Niche,Mature,Mature,,,,,,,,
weekday occupancy,0.051282051,0.04117216,0.193260654,18.75,5.08E-03,19,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
weekend occupancy,0.061538462,0.061632112,0.193644489,26.66666667,4.62E-03,17,Mature,Mature,Mature,Mature,Niche,Niche,,,,,,,,
wttc,0.046153846,0.039452099,0.17165493,206.4285714,7.85E-03,33,Hot,Hot,Hot,Hot,Emerging,Emerging,,,,,,,,
yoy,0.020512821,0.046308994,0.167958656,70.83333333,2.31E-03,9,Emerging,Emerging,Hot,Hot,Emerging,Emerging,,,,,,,,
